Date;Healthcare Global ETF(IXJ);MSCI World ETF (URTH);Tbill 1y (IB01.SW);Tbill 7-10y (IGTM.L);Gold ETF (SGOL);Real Estate ETF (VNQ);BTC-USD;Energy ETF (VDE);Oil ETF (HUC.TO);NYSE Composite (^NYA)
13/04/2020;62.278865814208984;79.65570831298828;;;16.540000915527344;70.65991973876953;6845.03759765625;40.81222152709961;8.489999771118164;10949.5302734375
14/04/2020;64.29605102539062;81.6587142944336;5.144000053405762;5.736499786376953;16.610000610351562;72.64165496826172;6842.427734375;40.656410217285156;8.449999809265137;11172.2001953125
15/04/2020;63.72109603881836;79.81053161621094;5.144000053405762;5.775000095367432;16.600000381469727;69.76254272460938;6642.10986328125;38.8050651550293;7.960000038146973;10843.919921875
16/04/2020;65.02690124511719;80.02340698242188;5.142000198364258;5.790500164031982;16.540000915527344;68.96797180175781;7116.80419921875;37.256160736083984;7.900000095367432;10818.0302734375
17/04/2020;66.39116668701172;82.12318420410156;5.144000053405762;5.795499801635742;16.239999771118164;71.14602661132812;7096.1845703125;41.02301788330078;7.909999847412109;11208.2900390625
18/04/2020;;;;;;;7257.6650390625;;;
19/04/2020;;;;;;;7189.4248046875;;;
20/04/2020;65.97213745117188;80.95233917236328;5.144000053405762;5.78249979019165;16.34000015258789;68.50059509277344;6881.95849609375;39.90487289428711;7.639999866485596;11003.8798828125
21/04/2020;64.4032211303711;78.72676849365234;5.1479997634887695;5.816500186920166;16.229999542236328;67.25731658935547;6880.3232421875;39.318302154541016;6.519999980926514;10706.4404296875
22/04/2020;65.34848022460938;80.28468322753906;5.1479997634887695;5.789000034332275;16.579999923706055;68.28559112548828;7117.20751953125;40.64724349975586;6.78000020980835;10908.5595703125
23/04/2020;65.55310821533203;80.2459716796875;5.142000198364258;5.7870001792907715;16.700000762939453;67.71537780761719;7429.724609375;41.9761848449707;6.769999980926514;10916.6796875
