date;Johnson and johnson;AstraZeneca;Pfizer;Healthcare Global;MSCI World;Tbill 1y;Tbill 7-10y;Gold ETF;Real Estate ETF;BTC-USD;Energy Sector;Oil Sector;NYSE
09/06/2020;139.558837890625;50.08356475830078;32.12858581542969;68.4570541381836;92.89295196533203;5.144999980926514;5.668499946594238;16.5;79.78337097167969;9795.7001953125;55.5130500793457;9.100000381469727;12619.51953125
10/06/2020;141.31813049316406;50.94789505004883;31.87126922607422;68.65194702148438;92.55427551269531;5.144000053405762;5.689000129699707;16.719999313354492;77.7549057006836;9870.0947265625;52.56188201904297;9.140000343322754;12449.2197265625
11/06/2020;134.69204711914062;48.98178482055664;29.546585083007812;65.22178649902344;87.30003356933594;5.144000053405762;5.730500221252441;16.6200008392334;72.76317596435547;9321.78125;47.52107620239258;8.539999961853027;11659.169921875
12/06/2020;135.91592407226562;48.88680648803711;29.945865631103516;65.65055847167969;88.567626953125;5.144000053405762;5.7245001792907715;16.670000076293945;75.37120819091797;9480.84375;48.85001754760742;8.630000114440918;11867.169921875
13/06/2020;;;;;;;;;;9475.27734375;;;
14/06/2020;;;;;;;;;;9386.7880859375;;;
15/06/2020;135.0553741455078;49.998085021972656;29.59981918334961;66.01792907714844;89.2801742553711;5.144000053405762;5.723999977111816;16.6200008392334;76.4368667602539;9450.7021484375;49.1524658203125;8.800000190734863;11942.91015625
16/06/2020;138.12461853027344;50.89091110229492;29.635313034057617;67.42256164550781;90.76590728759766;5.144000053405762;5.700500011444092;16.600000381469727;77.94184875488281;9538.0244140625;50.435577392578125;9.0;12161.4697265625
17/06/2020;137.70387268066406;51.194847106933594;29.77727699279785;67.75654602050781;90.67793273925781;5.144000053405762;5.704999923706055;16.6299991607666;76.81077575683594;9480.2548828125;48.71254348754883;8.859999656677246;12086.490234375
18/06/2020;137.12066650390625;50.01708221435547;29.49334716796875;67.46185302734375;90.60951232910156;5.144000053405762;5.7230000495910645;16.610000610351562;75.96946716308594;9411.8408203125;49.19828796386719;9.020000457763672;12072.58984375
19/06/2020;137.52224731445312;50.3590087890625;29.653060913085938;68.01192474365234;90.1501235961914;5.144000053405762;5.7179999351501465;16.790000915527344;74.8664321899414;9288.0185546875;48.446754455566406;9.100000381469727;11980.1201171875
20/06/2020;;;;;;;;;;9332.3408203125;;;
21/06/2020;;;;;;;;;;9303.6298828125;;;
22/06/2020;137.10153198242188;50.738929748535156;29.37799835205078;68.05121612548828;90.89297485351562;5.144000053405762;5.728000164031982;16.8799991607666;74.79165649414062;9648.7177734375;48.597049713134766;9.239999771118164;12028.91015625
23/06/2020;136.59478759765625;51.527278900146484;29.076322555541992;68.3753662109375;91.29373168945312;5.145999908447266;5.71150016784668;17.030000686645508;74.4831771850586;9629.658203125;48.55994415283203;9.180000305175781;12077.740234375
24/06/2020;133.68809509277344;49.51367950439453;28.561697006225586;66.67604064941406;88.93807220458984;5.145999908447266;5.724999904632568;17.0;72.36123657226562;9313.6103515625;45.81371307373047;8.890000343322754;11726.5400390625
25/06/2020;133.54466247558594;50.349510192871094;28.677043914794922;67.34397888183594;90.06214141845703;5.145999908447266;5.733500003814697;16.959999084472656;73.28543853759766;9264.8134765625;46.66727066040039;9.029999732971191;11865.1103515625
26/06/2020;131.7662353515625;50.05506896972656;28.428606033325195;66.53852844238281;88.12679290771484;5.145999908447266;5.744500160217285;17.040000915527344;71.87882995605469;9162.91796875;45.034385681152344;8.920000076293945;11604.4296875
27/06/2020;;;;;;;;;;9045.390625;;;
28/06/2020;;;;;;;;;;9143.58203125;;;
29/06/2020;132.94227600097656;50.2545280456543;28.96097755432129;66.85284423828125;89.19221496582031;5.145999908447266;5.749000072479248;17.059999465942383;73.26655578613281;9190.8544921875;45.6652717590332;9.15999984741211;11777.080078125
30/06/2020;134.4626007080078;50.23553466796875;29.014211654663086;67.5600814819336;90.06214141845703;5.144999980926514;5.747000217437744;17.139999389648438;74.13507080078125;9137.9931640625;46.66727066040039;9.029999732971191;11893.7802734375
01/07/2020;134.22354125976562;50.643951416015625;29.93699073791504;67.92352294921875;90.57042694091797;5.144999980926514;5.732999801635742;17.049999237060547;75.84378051757812;9228.3251953125;45.54466247558594;;11901.5498046875
02/07/2020;134.7876739501953;51.09986114501953;30.62019920349121;68.38518524169922;91.254638671875;5.144999980926514;5.735000133514404;17.079999923706055;75.62664031982422;9123.41015625;46.1106071472168;9.1899995803833;11991.51953125
03/07/2020;;;;;;5.144999980926514;5.73799991607666;;;9087.3037109375;;9.239999771118164;
04/07/2020;;;;;;;;;;9132.48828125;;;
05/07/2020;;;;;;;;;;9073.9423828125;;;
06/07/2020;136.70950317382812;51.38480758666992;30.62019920349121;69.08259582519531;92.66215515136719;5.144999980926514;5.723499774932861;17.190000534057617;75.58888244628906;9375.474609375;46.32399368286133;9.319999694824219;12160.009765625
07/07/2020;136.58522033691406;50.78643035888672;30.194305419921875;68.44412231445312;91.69448852539062;5.144999980926514;5.731500148773193;17.299999237060547;74.0878677368164;9252.27734375;44.96015930175781;9.319999694824219;11990.1396484375
08/07/2020;136.98680114746094;51.47028732299805;29.945865631103516;68.53252410888672;92.4764404296875;5.144999980926514;5.738999843597412;17.40999984741211;73.98402404785156;9428.3330078125;44.93232727050781;9.4399995803833;12086.3896484375
09/07/2020;136.24098205566406;51.261329650878906;29.688547134399414;68.0217514038086;91.86065673828125;5.144999980926514;5.754000186920166;17.3700008392334;73.52143859863281;9277.9677734375;42.79843521118164;9.319999694824219;11928.6298828125
10/07/2020;136.1262664794922;51.06187057495117;30.016849517822266;68.03157043457031;92.78923034667969;5.144999980926514;5.756999969482422;17.31999969482422;73.74801635742188;9278.8076171875;44.106605529785156;9.449999809265137;12075.580078125
11/07/2020;;;;;;;;;;9240.3466796875;;;
12/07/2020;;;;;;;;;;9276.5;;;
13/07/2020;138.84173583984375;50.567970275878906;31.241296768188477;68.12979888916016;91.95838928222656;5.144999980926514;5.738999843597412;17.329999923706055;72.87007141113281;9243.6142578125;43.73548889160156;9.300000190734863;12014.669921875
14/07/2020;141.43289184570312;51.27082824707031;31.25904655456543;69.2201156616211;93.22908020019531;5.144999980926514;5.757500171661377;17.43000030517578;73.48368072509766;9243.2138671875;45.31271743774414;9.399999618530273;12014.669921875
15/07/2020;141.75794982910156;55.08907699584961;31.693805694580078;70.17291259765625;94.2065200805664;5.144999980926514;5.75;17.43000030517578;74.2011489868164;9192.8369140625;46.35182571411133;9.4399995803833;12391.3203125
16/07/2020;142.70452880859375;54.54767990112305;31.587339401245117;69.96663665771484;93.77645111083984;5.144999980926514;5.760499954223633;17.280000686645508;73.31377410888672;9132.2275390625;46.12915802001953;9.430000305175781;12350.1103515625
17/07/2020;142.80015563964844;58.03348922729492;32.16407012939453;70.93907928466797;94.07945251464844;5.144999980926514;5.755499839782715;17.43000030517578;74.2672348022461;9151.392578125;45.377662658691406;9.449999809265137;12402.740234375
18/07/2020;;;;;;;;;;9159.0400390625;;;
19/07/2020;;;;;;;;;;9185.8173828125;;;
20/07/2020;143.03919982910156;55.73494338989258;32.385894775390625;71.05693817138672;94.81253814697266;5.144999980926514;5.755499839782715;17.510000228881836;73.37984466552734;9164.2314453125;44.626155853271484;9.470000267028809;12392.98046875
21/07/2020;143.17303466796875;55.155555725097656;32.55447769165039;70.89977264404297;94.99826049804688;5.144999980926514;5.761000156402588;17.709999084472656;73.5592041015625;9374.8876953125;47.42805099487305;9.59000015258789;12508.6796875
22/07/2020;143.4311981201172;54.120262145996094;34.21369934082031;71.31233215332031;95.4576644897461;5.144999980926514;5.767000198364258;17.989999771118164;74.68260192871094;9525.36328125;46.81571960449219;9.59000015258789;12569.0703125
23/07/2020;143.0487518310547;52.40110397338867;34.08060836791992;70.81137084960938;94.38246154785156;5.144999980926514;5.767499923706055;18.139999389648438;74.37108612060547;9581.072265625;46.778602600097656;9.510000228881836;12510.8701171875
24/07/2020;141.6240692138672;52.99948501586914;33.41514205932617;69.94698333740234;93.7959976196289;5.144999980926514;5.769000053405762;18.299999237060547;73.82353973388672;9536.892578125;46.481712341308594;9.579999923706055;12461.7802734375
25/07/2020;;;;;;;;;;9677.11328125;;;
26/07/2020;;;;;;;;;;9905.1669921875;;;
27/07/2020;140.7252960205078;53.74033737182617;33.30867385864258;70.64439392089844;94.69524383544922;5.144999980926514;5.769999980926514;18.65999984741211;74.52213287353516;10990.873046875;46.500274658203125;9.6899995803833;12553.1298828125
